symbol,date,price
Gross,1982,1867792
Gross,1983,1772889
Gross,1984,
Gross,1985,687475
Gross,1986,272278
Gross,1987,5269990
Gross,1988,1645711
Gross,1989,1963756
Gross,1990,1362303
Gross,1991,12049514
Gross,1992,5301085
Gross,1993,975414
Gross,1994,1530839
Gross,1995,
Gross,1996,10171304
Gross,1997,3000000
Gross,1998,1818910
Gross,1999,4304286
Gross,2000,1723487
Gross,2001,2443487
Gross,2002,2439705
Gross,2003,6857733
Gross,2004,
Gross,2005,2314561
Gross,2006,
Gross,2007,108128
Gross,2008,
Gross,2009,16156776
Gross,2010,
Gross,2011,26177
